id,title,artist,album,year,genre,lyrics,imageFile
1,Die with a Smile,Lady Gaga and Bruno Mars,Billboard Year-End Hot 100 2025,2025,Pop,Die with a Smile Lady Gaga and Bruno Mars chart hit rank 1 pop radio streaming popular 2025,001-die-with-a-smile.svg
2,Luther,Kendrick Lamar and SZA,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Luther Kendrick Lamar and SZA chart hit rank 2 hip-hop/rap radio streaming popular 2025,002-luther.svg
3,A Bar Song (Tipsy),Shaboozey,Billboard Year-End Hot 100 2025,2025,Country,A Bar Song (Tipsy) Shaboozey chart hit rank 3 country radio streaming popular 2025,003-a-bar-song-tipsy.svg
4,Lose Control,Teddy Swims,Billboard Year-End Hot 100 2025,2025,Pop,Lose Control Teddy Swims chart hit rank 4 pop radio streaming popular 2025,004-lose-control.svg
5,Birds of a Feather,Billie Eilish,Billboard Year-End Hot 100 2025,2025,Pop,Birds of a Feather Billie Eilish chart hit rank 5 pop radio streaming popular 2025,005-birds-of-a-feather.svg
6,Beautiful Things,Benson Boone,Billboard Year-End Hot 100 2025,2025,Pop,Beautiful Things Benson Boone chart hit rank 6 pop radio streaming popular 2025,006-beautiful-things.svg
7,Ordinary,Alex Warren,Billboard Year-End Hot 100 2025,2025,Pop,Ordinary Alex Warren chart hit rank 7 pop radio streaming popular 2025,007-ordinary.svg
8,I Had Some Help,Post Malone featuring Morgan Wallen,Billboard Year-End Hot 100 2025,2025,Country,I Had Some Help Post Malone featuring Morgan Wallen chart hit rank 8 country radio streaming popular 2025,008-i-had-some-help.svg
9,APT.,Rosé and Bruno Mars,Billboard Year-End Hot 100 2025,2025,K-Pop,APT. Rosé and Bruno Mars chart hit rank 9 k-pop radio streaming popular 2025,009-apt.svg
10,Pink Pony Club,Chappell Roan,Billboard Year-End Hot 100 2025,2025,Pop,Pink Pony Club Chappell Roan chart hit rank 10 pop radio streaming popular 2025,010-pink-pony-club.svg
11,Love Somebody,Morgan Wallen,Billboard Year-End Hot 100 2025,2025,Country,Love Somebody Morgan Wallen chart hit rank 11 country radio streaming popular 2025,011-love-somebody.svg
12,Espresso,Sabrina Carpenter,Billboard Year-End Hot 100 2025,2025,Pop,Espresso Sabrina Carpenter chart hit rank 12 pop radio streaming popular 2025,012-espresso.svg
13,I'm the Problem,Morgan Wallen,Billboard Year-End Hot 100 2025,2025,Country,I'm the Problem Morgan Wallen chart hit rank 13 country radio streaming popular 2025,013-i-m-the-problem.svg
14,That's So True,Gracie Abrams,Billboard Year-End Hot 100 2025,2025,Pop,That's So True Gracie Abrams chart hit rank 14 pop radio streaming popular 2025,014-that-s-so-true.svg
15,TV Off,Kendrick Lamar featuring Lefty Gunplay,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,TV Off Kendrick Lamar featuring Lefty Gunplay chart hit rank 15 hip-hop/rap radio streaming popular 2025,015-tv-off.svg
16,Timeless,The Weeknd and Playboi Carti,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Timeless The Weeknd and Playboi Carti chart hit rank 16 hip-hop/rap radio streaming popular 2025,016-timeless.svg
17,Not Like Us,Kendrick Lamar,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Not Like Us Kendrick Lamar chart hit rank 17 hip-hop/rap radio streaming popular 2025,017-not-like-us.svg
18,Just in Case,Morgan Wallen,Billboard Year-End Hot 100 2025,2025,Country,Just in Case Morgan Wallen chart hit rank 18 country radio streaming popular 2025,018-just-in-case.svg
19,Taste,Sabrina Carpenter,Billboard Year-End Hot 100 2025,2025,Pop,Taste Sabrina Carpenter chart hit rank 19 pop radio streaming popular 2025,019-taste.svg
20,Squabble Up,Kendrick Lamar,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Squabble Up Kendrick Lamar chart hit rank 20 hip-hop/rap radio streaming popular 2025,020-squabble-up.svg
21,30 for 30,SZA and Kendrick Lamar,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,30 for 30 SZA and Kendrick Lamar chart hit rank 21 hip-hop/rap radio streaming popular 2025,021-30-for-30.svg
22,Mutt,Leon Thomas,Billboard Year-End Hot 100 2025,2025,Pop,Mutt Leon Thomas chart hit rank 22 pop radio streaming popular 2025,022-mutt.svg
23,Good News,Shaboozey,Billboard Year-End Hot 100 2025,2025,Country,Good News Shaboozey chart hit rank 23 country radio streaming popular 2025,023-good-news.svg
24,Nokia,Drake,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Nokia Drake chart hit rank 24 hip-hop/rap radio streaming popular 2025,024-nokia.svg
25,Golden,"Huntrix: Ejae, Audrey Nuna and Rei Ami",Billboard Year-End Hot 100 2025,2025,K-Pop,"Golden Huntrix: Ejae, Audrey Nuna and Rei Ami chart hit rank 25 k-pop radio streaming popular 2025",025-golden.svg
26,Wildflower,Billie Eilish,Billboard Year-End Hot 100 2025,2025,Pop,Wildflower Billie Eilish chart hit rank 26 pop radio streaming popular 2025,026-wildflower.svg
27,What I Want,Morgan Wallen featuring Tate McRae,Billboard Year-End Hot 100 2025,2025,Country,What I Want Morgan Wallen featuring Tate McRae chart hit rank 27 country radio streaming popular 2025,027-what-i-want.svg
28,Messy,Lola Young,Billboard Year-End Hot 100 2025,2025,Pop,Messy Lola Young chart hit rank 28 pop radio streaming popular 2025,028-messy.svg
29,Stargazing,Myles Smith,Billboard Year-End Hot 100 2025,2025,Pop,Stargazing Myles Smith chart hit rank 29 pop radio streaming popular 2025,029-stargazing.svg
30,Love Me Not,Ravyn Lenae,Billboard Year-End Hot 100 2025,2025,Pop,Love Me Not Ravyn Lenae chart hit rank 30 pop radio streaming popular 2025,030-love-me-not.svg
31,"Good Luck, Babe!",Chappell Roan,Billboard Year-End Hot 100 2025,2025,Pop,"Good Luck, Babe! Chappell Roan chart hit rank 31 pop radio streaming popular 2025",031-good-luck-babe.svg
32,No One Noticed,The Marías,Billboard Year-End Hot 100 2025,2025,Pop,No One Noticed The Marías chart hit rank 32 pop radio streaming popular 2025,032-no-one-noticed.svg
33,All the Way,BigXthaPlug featuring Bailey Zimmerman,Billboard Year-End Hot 100 2025,2025,Country,All the Way BigXthaPlug featuring Bailey Zimmerman chart hit rank 33 country radio streaming popular 2025,033-all-the-way.svg
34,Too Sweet,Hozier,Billboard Year-End Hot 100 2025,2025,Pop,Too Sweet Hozier chart hit rank 34 pop radio streaming popular 2025,034-too-sweet.svg
35,Worst Way,Riley Green,Billboard Year-End Hot 100 2025,2025,Country,Worst Way Riley Green chart hit rank 35 country radio streaming popular 2025,035-worst-way.svg
36,Sailor Song,Gigi Perez,Billboard Year-End Hot 100 2025,2025,Pop,Sailor Song Gigi Perez chart hit rank 36 pop radio streaming popular 2025,036-sailor-song.svg
37,Sorry I'm Here for Someone Else,Benson Boone,Billboard Year-End Hot 100 2025,2025,Pop,Sorry I'm Here for Someone Else Benson Boone chart hit rank 37 pop radio streaming popular 2025,037-sorry-i-m-here-for-someone-else.svg
38,Manchild,Sabrina Carpenter,Billboard Year-End Hot 100 2025,2025,Pop,Manchild Sabrina Carpenter chart hit rank 38 pop radio streaming popular 2025,038-manchild.svg
39,Anxiety,Doechii,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Anxiety Doechii chart hit rank 39 hip-hop/rap radio streaming popular 2025,039-anxiety.svg
40,I Got Better,Morgan Wallen,Billboard Year-End Hot 100 2025,2025,Country,I Got Better Morgan Wallen chart hit rank 40 country radio streaming popular 2025,040-i-got-better.svg
41,Sticky,"Tyler, the Creator featuring GloRilla, Sexyy Red and Lil Wayne",Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,"Sticky Tyler, the Creator featuring GloRilla, Sexyy Red and Lil Wayne chart hit rank 41 hip-hop/rap radio streaming popular 2025",041-sticky.svg
42,Undressed,Sombr,Billboard Year-End Hot 100 2025,2025,Pop,Undressed Sombr chart hit rank 42 pop radio streaming popular 2025,042-undressed.svg
43,I Never Lie,Zach Top,Billboard Year-End Hot 100 2025,2025,Country,I Never Lie Zach Top chart hit rank 43 country radio streaming popular 2025,043-i-never-lie.svg
44,Back to Friends,Sombr,Billboard Year-End Hot 100 2025,2025,Pop,Back to Friends Sombr chart hit rank 44 pop radio streaming popular 2025,044-back-to-friends.svg
45,Bed Chem,Sabrina Carpenter,Billboard Year-End Hot 100 2025,2025,Pop,Bed Chem Sabrina Carpenter chart hit rank 45 pop radio streaming popular 2025,045-bed-chem.svg
46,Sports Car,Tate McRae,Billboard Year-End Hot 100 2025,2025,Pop,Sports Car Tate McRae chart hit rank 46 pop radio streaming popular 2025,046-sports-car.svg
47,Mystical Magical,Benson Boone,Billboard Year-End Hot 100 2025,2025,Pop,Mystical Magical Benson Boone chart hit rank 47 pop radio streaming popular 2025,047-mystical-magical.svg
48,Whatchu Kno About Me,GloRilla and Sexyy Red,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Whatchu Kno About Me GloRilla and Sexyy Red chart hit rank 48 hip-hop/rap radio streaming popular 2025,048-whatchu-kno-about-me.svg
49,Indigo,Sam Barber featuring Avery Anna,Billboard Year-End Hot 100 2025,2025,Country,Indigo Sam Barber featuring Avery Anna chart hit rank 49 country radio streaming popular 2025,049-indigo.svg
50,Please Please Please,Sabrina Carpenter,Billboard Year-End Hot 100 2025,2025,Pop,Please Please Please Sabrina Carpenter chart hit rank 50 pop radio streaming popular 2025,050-please-please-please.svg
51,DTMF,Bad Bunny,Billboard Year-End Hot 100 2025,2025,Latin,DTMF Bad Bunny chart hit rank 51 latin radio streaming popular 2025,051-dtmf.svg
52,Blue Strips,Jessie Murph,Billboard Year-End Hot 100 2025,2025,Pop,Blue Strips Jessie Murph chart hit rank 52 pop radio streaming popular 2025,052-blue-strips.svg
53,Peekaboo,Kendrick Lamar featuring AzChike,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Peekaboo Kendrick Lamar featuring AzChike chart hit rank 53 hip-hop/rap radio streaming popular 2025,053-peekaboo.svg
54,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo and Samuil Lee",Billboard Year-End Hot 100 2025,2025,K-Pop,"Your Idol Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo and Samuil Lee chart hit rank 54 k-pop radio streaming popular 2025",054-your-idol.svg
55,High Road,Koe Wetzel featuring Jessie Murph,Billboard Year-End Hot 100 2025,2025,Country,High Road Koe Wetzel featuring Jessie Murph chart hit rank 55 country radio streaming popular 2025,055-high-road.svg
56,Abracadabra,Lady Gaga,Billboard Year-End Hot 100 2025,2025,Pop,Abracadabra Lady Gaga chart hit rank 56 pop radio streaming popular 2025,056-abracadabra.svg
57,Who,Jimin,Billboard Year-End Hot 100 2025,2025,K-Pop,Who Jimin chart hit rank 57 k-pop radio streaming popular 2025,057-who.svg
58,Burning Blue,Mariah the Scientist,Billboard Year-End Hot 100 2025,2025,Pop,Burning Blue Mariah the Scientist chart hit rank 58 pop radio streaming popular 2025,058-burning-blue.svg
59,All I Want for Christmas Is You,Mariah Carey,Billboard Year-End Hot 100 2025,2025,Holiday,All I Want for Christmas Is You Mariah Carey chart hit rank 59 holiday radio streaming popular 2025,059-all-i-want-for-christmas-is-you.svg
60,Daisies,Justin Bieber,Billboard Year-End Hot 100 2025,2025,Pop,Daisies Justin Bieber chart hit rank 60 pop radio streaming popular 2025,060-daisies.svg
61,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo and Samuil Lee",Billboard Year-End Hot 100 2025,2025,K-Pop,"Soda Pop Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo and Samuil Lee chart hit rank 61 k-pop radio streaming popular 2025",061-soda-pop.svg
62,Like Him,"Tyler, the Creator featuring Lola Young",Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,"Like Him Tyler, the Creator featuring Lola Young chart hit rank 62 hip-hop/rap radio streaming popular 2025",062-like-him.svg
63,Residuals,Chris Brown,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Residuals Chris Brown chart hit rank 63 hip-hop/rap radio streaming popular 2025,063-residuals.svg
64,Smile,Morgan Wallen,Billboard Year-End Hot 100 2025,2025,Country,Smile Morgan Wallen chart hit rank 64 country radio streaming popular 2025,064-smile.svg
65,Last Christmas,Wham!,Billboard Year-End Hot 100 2025,2025,Holiday,Last Christmas Wham! chart hit rank 65 holiday radio streaming popular 2025,065-last-christmas.svg
66,Am I Okay?,Megan Moroney,Billboard Year-End Hot 100 2025,2025,Country,Am I Okay? Megan Moroney chart hit rank 66 country radio streaming popular 2025,066-am-i-okay.svg
67,Rockin' Around the Christmas Tree,Brenda Lee,Billboard Year-End Hot 100 2025,2025,Holiday,Rockin' Around the Christmas Tree Brenda Lee chart hit rank 67 holiday radio streaming popular 2025,067-rockin-around-the-christmas-tree.svg
68,How It's Done,"Huntrix: Ejae, Audrey Nuna and Rei Ami",Billboard Year-End Hot 100 2025,2025,K-Pop,"How It's Done Huntrix: Ejae, Audrey Nuna and Rei Ami chart hit rank 68 k-pop radio streaming popular 2025",068-how-it-s-done.svg
69,Happen to Me,Russell Dickerson,Billboard Year-End Hot 100 2025,2025,Country,Happen to Me Russell Dickerson chart hit rank 69 country radio streaming popular 2025,069-happen-to-me.svg
70,Baile Inolvidable,Bad Bunny,Billboard Year-End Hot 100 2025,2025,Latin,Baile Inolvidable Bad Bunny chart hit rank 70 latin radio streaming popular 2025,070-baile-inolvidable.svg
71,Weren't for the Wind,Ella Langley,Billboard Year-End Hot 100 2025,2025,Country,Weren't for the Wind Ella Langley chart hit rank 71 country radio streaming popular 2025,071-weren-t-for-the-wind.svg
72,I Ain't Comin' Back,Morgan Wallen featuring Post Malone,Billboard Year-End Hot 100 2025,2025,Country,I Ain't Comin' Back Morgan Wallen featuring Post Malone chart hit rank 72 country radio streaming popular 2025,072-i-ain-t-comin-back.svg
73,Cry for Me,The Weeknd,Billboard Year-End Hot 100 2025,2025,Pop,Cry for Me The Weeknd chart hit rank 73 pop radio streaming popular 2025,073-cry-for-me.svg
74,Bad Dreams,Teddy Swims,Billboard Year-End Hot 100 2025,2025,Pop,Bad Dreams Teddy Swims chart hit rank 74 pop radio streaming popular 2025,074-bad-dreams.svg
75,Denial Is a River,Doechii,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Denial Is a River Doechii chart hit rank 75 hip-hop/rap radio streaming popular 2025,075-denial-is-a-river.svg
76,BMF,SZA,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,BMF SZA chart hit rank 76 hip-hop/rap radio streaming popular 2025,076-bmf.svg
77,Eoo,Bad Bunny,Billboard Year-End Hot 100 2025,2025,Latin,Eoo Bad Bunny chart hit rank 77 latin radio streaming popular 2025,077-eoo.svg
78,I'm Gonna Love You,Cody Johnson and Carrie Underwood,Billboard Year-End Hot 100 2025,2025,Country,I'm Gonna Love You Cody Johnson and Carrie Underwood chart hit rank 78 country radio streaming popular 2025,078-i-m-gonna-love-you.svg
79,I Am Not Okay,Jelly Roll,Billboard Year-End Hot 100 2025,2025,Country,I Am Not Okay Jelly Roll chart hit rank 79 country radio streaming popular 2025,079-i-am-not-okay.svg
80,Backup Plan,Bailey Zimmerman and Luke Combs,Billboard Year-End Hot 100 2025,2025,Country,Backup Plan Bailey Zimmerman and Luke Combs chart hit rank 80 country radio streaming popular 2025,080-backup-plan.svg
81,Jingle Bell Rock,Bobby Helms,Billboard Year-End Hot 100 2025,2025,Holiday,Jingle Bell Rock Bobby Helms chart hit rank 81 holiday radio streaming popular 2025,081-jingle-bell-rock.svg
82,Revolving Door,Tate McRae,Billboard Year-End Hot 100 2025,2025,Pop,Revolving Door Tate McRae chart hit rank 82 pop radio streaming popular 2025,082-revolving-door.svg
83,What It Sounds Like,"Huntrix: Ejae, Audrey Nuna and Rei Ami",Billboard Year-End Hot 100 2025,2025,K-Pop,"What It Sounds Like Huntrix: Ejae, Audrey Nuna and Rei Ami chart hit rank 83 k-pop radio streaming popular 2025",083-what-it-sounds-like.svg
84,Hard Fought Hallelujah,Brandon Lake and Jelly Roll,Billboard Year-End Hot 100 2025,2025,Country,Hard Fought Hallelujah Brandon Lake and Jelly Roll chart hit rank 84 country radio streaming popular 2025,084-hard-fought-hallelujah.svg
85,Somebody Loves Me,PartyNextDoor and Drake,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Somebody Loves Me PartyNextDoor and Drake chart hit rank 85 hip-hop/rap radio streaming popular 2025,085-somebody-loves-me.svg
86,Liar,Jelly Roll,Billboard Year-End Hot 100 2025,2025,Country,Liar Jelly Roll chart hit rank 86 country radio streaming popular 2025,086-liar.svg
87,Tu Boda,Óscar Maydon and Fuerza Regida,Billboard Year-End Hot 100 2025,2025,Latin,Tu Boda Óscar Maydon and Fuerza Regida chart hit rank 87 latin radio streaming popular 2025,087-tu-boda.svg
88,After All the Bars Are Closed,Thomas Rhett,Billboard Year-End Hot 100 2025,2025,Country,After All the Bars Are Closed Thomas Rhett chart hit rank 88 country radio streaming popular 2025,088-after-all-the-bars-are-closed.svg
89,Nuevayol,Bad Bunny,Billboard Year-End Hot 100 2025,2025,Latin,Nuevayol Bad Bunny chart hit rank 89 latin radio streaming popular 2025,089-nuevayol.svg
90,20 Cigarettes,Morgan Wallen,Billboard Year-End Hot 100 2025,2025,Country,20 Cigarettes Morgan Wallen chart hit rank 90 country radio streaming popular 2025,090-20-cigarettes.svg
91,Rather Lie,Playboi Carti and the Weeknd,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Rather Lie Playboi Carti and the Weeknd chart hit rank 91 hip-hop/rap radio streaming popular 2025,091-rather-lie.svg
92,Free,Ejae and Andrew Choi,Billboard Year-End Hot 100 2025,2025,K-Pop,Free Ejae and Andrew Choi chart hit rank 92 k-pop radio streaming popular 2025,092-free.svg
93,Takedown,"Huntrix: Ejae, Audrey Nuna and Rei Ami",Billboard Year-End Hot 100 2025,2025,K-Pop,"Takedown Huntrix: Ejae, Audrey Nuna and Rei Ami chart hit rank 93 k-pop radio streaming popular 2025",093-takedown.svg
94,Heart of a Woman,Summer Walker,Billboard Year-End Hot 100 2025,2025,Pop,Heart of a Woman Summer Walker chart hit rank 94 pop radio streaming popular 2025,094-heart-of-a-woman.svg
95,House Again,Hudson Westbrook,Billboard Year-End Hot 100 2025,2025,Country,House Again Hudson Westbrook chart hit rank 95 country radio streaming popular 2025,095-house-again.svg
96,Dark Thoughts,Lil Tecca,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Dark Thoughts Lil Tecca chart hit rank 96 hip-hop/rap radio streaming popular 2025,096-dark-thoughts.svg
97,No Pole,Don Toliver,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,No Pole Don Toliver chart hit rank 97 hip-hop/rap radio streaming popular 2025,097-no-pole.svg
98,Folded,Kehlani,Billboard Year-End Hot 100 2025,2025,Pop,Folded Kehlani chart hit rank 98 pop radio streaming popular 2025,098-folded.svg
99,Superman,Morgan Wallen,Billboard Year-End Hot 100 2025,2025,Country,Superman Morgan Wallen chart hit rank 99 country radio streaming popular 2025,099-superman.svg
100,Loco,Netón Vega,Billboard Year-End Hot 100 2025,2025,Latin,Loco Netón Vega chart hit rank 100 latin radio streaming popular 2025,100-loco.svg
